"분류별(1)",분류별(2),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"합계 (천toe)",소계,38952,38711,41337,44998,46998,50524,55197,61033,65875,74701,83336,94403,103850,111787,121400,131573,144541,132177,143027,149958,153103,160876,164550,166452,171543,174873,182015,183054,182080,195401,205241,206974,208376,210477,215447,222027,231179,233585,231621,222563,237360
"증가율 (%)",소계,3.6,-0.6,6.8,8.9,4.4,7.5,9.2,10.6,7.9,13.4,11.6,13.3,10.0,7.6,8.6,8.4,9.9,-8.6,8.2,4.8,2.1,5.1,2.3,1.2,3.1,1.9,4.1,0.6,-0.5,7.3,5.0,0.8,0.7,1.0,2.4,3.1,4.1,1.0,-0.8,-3.9,6.6
"석탄 (천toe)",소계,14478,14548,15336,16806,17940,18887,19778,20565,20116,19454,19447,18469,18860,17423,17327,18406,18891,17993,18325,19661,20357,21485,22428,22100,22154,22461,24056,25879,23015,28189,32860,31017,31603,35198,34849,32342,33360,32480,32057,30457,31810
"석탄 (천toe)",무연탄,9571,8937,9338,10600,11632,12336,12006,11527,10057,8792,7119,5363,3981,2401,1702,1385,1072,1111,1271,1813,2470,2919,3342,3309,3711,4112,4385,4636,4183,4629,5844,4511,4649,4212,4539,4431,3986,4565,3850,3459,3577
"석탄 (천toe)",유연탄,4906,5612,5997,6206,6308,6552,7772,9039,10059,10662,12328,13105,14879,15022,15625,17021,17819,16882,17055,17848,17887,18566,19086,18791,18443,18349,19671,21243,18832,23560,27017,26507,26954,30985,30310,27911,29374,27915,28207,26998,28233
"석유 (천toe)",소계,18912,18460,19921,21602,22580,25181,28372,32511,36967,45252,52675,62939,69876,76339,82747,88566,98036,86712,92928,93839,93617,96635,96669,95942,97076,97665,100720,97316,98516,100519,102294,101683,101522,102664,106854,114264,118289,116831,116125,109344,116936
"석유 (천toe)",에너지유,15471,14835,15589,16690,17360,19211,21767,25083,29106,34991,39266,44139,49369,53637,58898,63046,63564,50159,54817,53275,52021,52366,51292,48739,48430,46990,45816,42833,41812,42913,41766,40279,39424,39423,42488,45372,46364,45496,44847,41334,41912
"석유 (천toe)",LPG,500,735,1010,1242,1424,1736,2110,2561,2947,3368,3894,4812,5141,5414,5493,5733,6442,6472,7371,8333,8493,9235,9050,9099,9348,9608,10052,10432,10840,10448,9670,9194,9536,9271,9214,11059,10579,10945,12188,12069,12034
"석유 (천toe)",비에너지유,2942,2890,3322,3670,3795,4235,4495,4866,4914,6893,9515,13988,15366,17289,18356,19787,28030,30081,30741,32231,33102,35034,36327,38104,39298,41067,44851,44050,45864,47158,50858,52209,52563,53971,55151,57833,61346,60389,59091,55941,62990
"천연가스 (천toe)",소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,366,738,518,564,589,989,1252,1156,813,769,851,1044,1370,2038,2909,3602,3550
"도시가스 (천toe)",소계,23,28,37,52,84,132,199,339,619,1011,1540,2219,3027,4057,5593,6937,8093,8425,10513,12561,13290,14567,15470,16193,17811,18379,18955,19765,19459,21081,22871,24728,24878,23041,21678,22186,23258,24979,23943,23100,24287
"전력 (천toe)",소계,3046,3258,3665,4046,4363,4843,5519,6391,7069,8111,8976,9911,10985,12602,14041,15692,17267,16638,18422,20600,22165,23947,25250,26840,28588,29990,31700,33116,33925,37338,39136,40127,40837,41073,41594,42745,43666,45249,44763,43797,45875
"열에너지 (천toe)",소계,-,-,-,-,-,-,10,63,71,75,80,143,360,460,641,811,909,882,1033,1167,1218,1316,1523,1449,1652,1549,1576,1668,1709,1939,1976,2102,2070,1528,1967,2183,2441,2682,2647,2770,2900
"신재생 및 기타 (천toe)",소계,2492,2417,2378,2492,2031,1480,1319,1164,1033,797,618,722,742,906,1050,1161,1344,1526,1806,2130,2456,2925,3210,3928,3896,4092,4491,4747,4867,5346,4851,6162,6654,6204,7653,7263,8794,9327,9177,9493,12002
